"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX21985564","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060790","","2696.98","1","28470642","8548581752","MARCO 044 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985563","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060787","","7217.29","1","75760101","22738588384","MARCO 044 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985562","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060788","","4820.7","1","50598820","15185706390","MARCO 043 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985561","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060786","","3181.91","1","34138410","10248657218","MARCO 043 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985560","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060785","","420.16","1","3504895","1058478290","MARCO 003 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985559","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060784","","5497.71","1","56434672","16940221228","MARCO 042 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985558","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060782","","2441.68","1","25281578","7593320300","MARCO 042 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985557","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060783","","564.44","1","5163022","1556272366","MARCO 079 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985556","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060781","","490.83","1","4211521","1271869392","MARCO 079 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985555","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060779","","6767","1","70420081","21135308202","MARCO 072 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985554","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060780","","6454.97","1","67441610","20242068408","MARCO 072 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985553","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060778","","448.95","1","4637117","1393043280","MARCO 071 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985552","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060776","","374.18","1","3160304","954411748","MARCO 006 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985551","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060777","","5464","1","57548734","17273043076","MARCO 071 V4","WGS","METAGENOMIC","size fractionation"
